epoch,cpu_temperature,cpu_usage,ram_usage,storage_usage
1735348974,36.998,0.0,10.7,46.76314390667565
1735352575,37.972,0.5,10.7,46.79098680942482
1735356177,36.511,7.1,10.7,46.79188326652091
1735359779,36.511,0.5,10.6,46.79268744126888
1735363380,36.511,0.5,10.7,46.7935443487872
1735366981,37.972,0.8,10.5,46.79437488992034
1735370583,38.946,3.2,10.6,46.79524498063125
1735374185,37.972,0.0,10.6,46.796088704956986
1735377786,36.998,7.3,10.5,46.79694561247531
1735381388,40.407,29.4,10.4,46.79778933680104
1735384989,40.407,0.0,10.7,46.798580328356415
1735388591,38.946,0.5,10.6,46.799437235874734
1735392192,41.868,0.0,10.7,46.80028096020047
1735395794,42.355,0.2,10.5,46.80116423410397
1735399396,47.225,10.5,10.6,46.82899395366055
1735402998,50.634,0.7,10.7,46.82983767798628
1735406983,49.66,2.0,10.7,46.95476161096504
1735407616,53.069,11.5,10.9,46.96426669282212
1735408361,53.556,0.0,10.9,47.00278798156885
1735409216,54.53,11.6,11.0,47.01583934223252
1735410231,55.991,1.5,11.1,47.03129004394749
1735411408,52.582,11.2,11.1,47.07637656260382
1735412798,46.251,2.0,11.3,47.1245479483261
1735414458,52.095,2.8,11.4,47.23027715289445
1735416384,47.712,0.5,11.6,46.90769761342028
1735418684,49.66,5.6,11.9,46.99543176010386
1735421369,46.251,7.3,12.0,47.08895332833426
1735424534,39.92,7.5,12.3,47.19060892639244
1735428286,36.998,3.0,12.7,47.38130380720055
1735432684,36.511,4.3,13.1,47.500387585862136
1735437835,37.485,1.2,13.5,47.62971470516581
1735443900,36.998,1.7,14.0,47.32319229426573
1735451041,36.024,1.0,14.7,47.61742796967233
1735459456,35.05,1.0,15.3,47.68190696462791
1735469378,47.225,0.0,16.3,47.31783991807437
1735654635,54.53,4.8,18.5,47.09318513315552
1735658237,53.069,0.2,9.5,47.08865011490471
1735661839,54.53,0.0,9.5,47.0890456106824
1735665440,53.556,0.0,9.4,47.08946747284526
1735669041,60.374,10.2,9.5,47.08988933500813
1735672643,55.991,2.5,9.4,47.09027164759323
1735676245,50.634,0.5,9.4,47.0906803265635
1735679847,51.608,0.2,9.4,47.09133948619298
1735683449,44.303,0.5,9.4,47.09180089793361
1735687050,42.355,0.2,9.4,47.09220957690389
1735690652,38.946,0.3,9.4,47.09260507268158
1735694253,37.972,11.5,9.4,47.09301375165185
1735697854,36.998,0.5,9.4,47.09340924742954
1735701456,36.998,0.3,9.3,47.09363336170356
1735705057,36.998,0.2,9.4,47.09404204067384
1735708659,36.024,0.2,9.4,47.09445071964412
1735712260,34.563,0.0,9.4,47.0948462154218
1735715861,35.05,7.1,9.4,47.09528126077726
1735719463,33.102,0.2,9.4,47.09566357336236
1735723065,36.511,1.0,9.5,47.09605906914005
1735726667,43.329,0.2,9.4,47.09646774811032
1735730269,50.147,0.2,9.4,47.09688961027319
1735733870,49.66,0.2,9.5,47.09729828924347
1735737472,48.686,7.8,9.4,47.09770696821374
1735741073,49.173,0.2,9.4,47.125114825607454
1735744675,55.017,0.5,9.5,47.125787168429525
1735748276,51.121,0.0,9.5,47.12620903059239
1735751878,56.478,0.0,9.5,47.12659134317749
1735755479,57.939,0.2,9.6,47.127013205340354
1735759081,58.913,10.8,9.5,47.12742188431063
1735762682,53.556,0.5,9.6,47.12781738008832
1735766283,44.303,0.5,9.5,47.128252425443776
1735769884,43.329,1.0,9.6,47.12864792122146
1735773486,42.355,0.5,9.6,47.12906978338432
1735777087,40.894,0.0,9.5,47.1294784623546
1735780689,40.894,12.1,9.6,47.12988714132488
1735784291,38.459,3.0,11.9,47.19857157471654
1735787892,35.537,0.3,9.5,47.14595745309156
1735791494,35.05,0.8,9.5,47.14647159760256
1735795096,34.563,0.3,9.6,47.14685391018765
1735798697,34.563,0.0,9.6,47.147236222772754
1735802299,33.589,3.3,9.6,47.1476844513208
1735805901,34.076,11.0,9.6,47.148066763905895
1735809503,34.563,47.3,10.2,47.14912141931306
1735813105,37.972,0.0,10.2,47.14997832683138
1735816706,40.407,1.7,10.3,47.150795684771936
1735820308,47.712,0.3,10.2,47.15161304271248
1735823910,48.686,0.5,10.2,47.15257541577153
1735827511,49.173,5.1,10.0,47.15337959051949
1735831113,50.634,0.3,9.6,47.154117849304505
1735834714,51.121,0.7,9.6,47.15450016188961
1735838316,44.303,0.0,9.6,47.15493520724506
1735841917,44.79,0.5,9.6,47.15534388621534
1735845519,47.225,0.7,9.6,47.155752565185615
1735849121,50.634,0.2,9.5,47.15616124415589
1735852723,46.251,13.1,9.7,47.18356910154961
1735856324,38.946,0.3,9.6,47.1839645973273
1735859925,37.485,0.2,9.7,47.18436009310498
1735863527,37.972,0.3,9.6,47.18478195526784
1735867129,36.511,0.0,9.7,47.185190634238126
1735870731,38.946,0.5,9.6,47.18558613001581
1735874332,36.998,12.9,9.6,47.18602117537127
1735877933,37.972,0.0,9.6,47.18644303753413
1735881535,37.972,0.5,9.6,47.18682535011923
1735885136,36.024,1.5,9.5,47.187247212282095
1735888738,36.511,1.2,9.6,47.18764270805978
1735892341,35.537,1.0,9.6,47.18806457022265
1735895942,36.511,3.8,9.7,47.188670997081765
1735899543,36.998,5.6,9.6,47.18906649285945
1735903145,38.946,0.0,9.6,47.18950153821491
1735906747,41.381,0.5,9.6,47.1898970339926
1735910348,43.816,0.5,9.6,47.190345262540646
1735913950,42.842,0.0,9.6,47.19075394151092
1735917551,41.868,0.0,9.7,47.191136254096016
1735921152,39.433,8.4,9.6,47.19159766583665
1735924754,47.712,0.3,10.1,47.19244139016239
1735928356,45.277,1.2,9.6,47.19283688594007
1735931957,37.485,0.8,9.6,47.19324556491035
1735935558,45.764,0.2,9.6,47.19365424388063
1735939160,42.355,12.2,10.1,47.19404973965831
1735942761,36.998,1.0,9.7,47.19449796820636
1735946363,36.511,0.5,9.7,47.194893463984045
1735949964,35.537,0.7,9.7,47.19530214295432
1735953567,36.511,0.0,9.7,47.1957108219246
1735957169,35.537,0.2,9.7,47.196093134509695
1735960770,36.024,0.0,9.7,47.19652817986515
1735964372,35.05,9.7,9.7,47.19691049245025
1735967973,35.05,1.0,9.6,47.19733235461312
1735971575,35.537,0.5,9.7,47.197754216775984
1735975177,34.563,0.3,9.7,47.19816289574626
1735978778,36.024,0.2,9.6,47.19853202513877
1735982380,37.972,0.0,9.6,47.19896707049423
1735985981,40.407,0.0,9.6,47.19936256627191
1735989583,41.868,9.7,9.8,47.20002172590139
