2024-10-02 20:21:19,799 - INFO - Connected to the database successfully.
2024-10-03 23:44:38,271 - INFO - Data inserted successfully: epoch=1727999015, distance_cm=6304
2024-10-03 23:44:39,276 - INFO - Data inserted successfully: epoch=1727999035, distance_cm=6301
2024-10-03 23:44:40,307 - INFO - Data inserted successfully: epoch=1727999055, distance_cm=6284
2024-10-03 23:45:26,392 - INFO - Image inserted successfully: epoch=03-10-2024_20:45:23.jpg, image_path=images/2024/10/3
2024-10-03 23:46:36,442 - INFO - Data inserted successfully: epoch=1727999096, distance_cm=6294
2024-10-03 23:46:37,473 - INFO - Data inserted successfully: epoch=1727999116, distance_cm=3665
2024-10-03 23:46:38,503 - INFO - Data inserted successfully: epoch=1727999136, distance_cm=6297
2024-10-03 23:46:39,548 - INFO - Data inserted successfully: epoch=1727999156, distance_cm=3663
2024-10-03 23:46:40,598 - INFO - Data inserted successfully: epoch=1727999176, distance_cm=3668
2024-10-03 23:48:36,659 - INFO - Data inserted successfully: epoch=1727999217, distance_cm=6275
2024-10-03 23:48:37,699 - INFO - Data inserted successfully: epoch=1727999237, distance_cm=3664
2024-10-03 23:48:38,728 - INFO - Data inserted successfully: epoch=1727999257, distance_cm=6281
2024-10-03 23:48:39,759 - INFO - Data inserted successfully: epoch=1727999277, distance_cm=3663
2024-10-03 23:48:40,789 - INFO - Data inserted successfully: epoch=1727999297, distance_cm=6290
2024-10-03 23:48:47,854 - INFO - Image inserted successfully: epoch=03-10-2024_20:48:45.jpg, image_path=images/2024/10/3
2024-10-03 23:50:37,928 - INFO - Data inserted successfully: epoch=1727999337, distance_cm=3663
2024-10-03 23:50:38,953 - INFO - Data inserted successfully: epoch=1727999358, distance_cm=4906
2024-10-03 23:50:39,983 - INFO - Data inserted successfully: epoch=1727999378, distance_cm=6291
2024-10-03 23:50:41,014 - INFO - Data inserted successfully: epoch=1727999398, distance_cm=3664
2024-10-03 23:50:42,045 - INFO - Data inserted successfully: epoch=1727999418, distance_cm=3671
2024-10-03 23:52:10,134 - INFO - Image inserted successfully: epoch=03-10-2024_20:52:06.jpg, image_path=images/2024/10/3
2024-10-03 23:52:39,170 - INFO - Data inserted successfully: epoch=1727999458, distance_cm=3666
2024-10-03 23:52:40,200 - INFO - Data inserted successfully: epoch=1727999479, distance_cm=6284
2024-10-03 23:52:41,231 - INFO - Data inserted successfully: epoch=1727999499, distance_cm=6287
2024-10-03 23:52:42,261 - INFO - Data inserted successfully: epoch=1727999519, distance_cm=3666
2024-10-03 23:52:43,292 - INFO - Data inserted successfully: epoch=1727999539, distance_cm=6279
2024-10-03 23:54:40,342 - INFO - Data inserted successfully: epoch=1727999579, distance_cm=6272
2024-10-03 23:54:41,373 - INFO - Data inserted successfully: epoch=1727999599, distance_cm=3657
2024-10-03 23:54:42,403 - INFO - Data inserted successfully: epoch=1727999620, distance_cm=3666
2024-10-03 23:54:43,434 - INFO - Data inserted successfully: epoch=1727999640, distance_cm=3670
2024-10-03 23:54:44,464 - INFO - Data inserted successfully: epoch=1727999660, distance_cm=6294
2024-10-03 23:55:31,539 - INFO - Image inserted successfully: epoch=03-10-2024_20:55:28.jpg, image_path=images/2024/10/3
2024-10-03 23:56:40,584 - INFO - Data inserted successfully: epoch=1727999700, distance_cm=3663
2024-10-03 23:56:41,614 - INFO - Data inserted successfully: epoch=1727999720, distance_cm=6269
2024-10-03 23:56:42,645 - INFO - Data inserted successfully: epoch=1727999741, distance_cm=3665
2024-10-03 23:56:43,675 - INFO - Data inserted successfully: epoch=1727999761, distance_cm=6287
2024-10-03 23:56:44,706 - INFO - Data inserted successfully: epoch=1727999781, distance_cm=3667
2024-10-03 23:58:41,773 - INFO - Data inserted successfully: epoch=1727999821, distance_cm=3667
2024-10-03 23:58:42,804 - INFO - Data inserted successfully: epoch=1727999841, distance_cm=3668
2024-10-03 23:58:43,834 - INFO - Data inserted successfully: epoch=1727999861, distance_cm=3667
2024-10-03 23:58:44,865 - INFO - Data inserted successfully: epoch=1727999882, distance_cm=3668
2024-10-03 23:58:45,879 - INFO - Data inserted successfully: epoch=1727999902, distance_cm=6285
2024-10-03 23:58:53,941 - INFO - Image inserted successfully: epoch=03-10-2024_20:58:50.jpg, image_path=images/2024/10/3
2024-10-04 00:00:43,004 - INFO - Data inserted successfully: epoch=1727999942, distance_cm=3667
2024-10-04 00:00:44,034 - INFO - Data inserted successfully: epoch=1727999962, distance_cm=3667
2024-10-04 00:00:45,065 - INFO - Data inserted successfully: epoch=1727999982, distance_cm=3664
2024-10-04 00:00:46,095 - INFO - Data inserted successfully: epoch=1728000003, distance_cm=3662
2024-10-04 00:00:47,126 - INFO - Data inserted successfully: epoch=1728000023, distance_cm=3667
2024-10-04 00:02:15,239 - INFO - Image inserted successfully: epoch=03-10-2024_21:02:12.jpg, image_path=images/2024/10/3
