log_time,image_time,log_image_difference
2024-10-06 11:07:17.221,2024-10-06 11:07:13,4.221
2024-10-06 11:10:38.758,2024-10-06 11:10:35,3.758
2024-10-06 11:14:00.040,2024-10-06 11:13:56,4.04
2024-10-06 11:17:22.508,2024-10-06 11:17:18,4.508
2024-10-06 11:20:43.922,2024-10-06 11:20:40,3.922
2024-10-06 11:24:08.360,2024-10-06 11:24:02,6.36
2024-10-06 11:27:27.605,2024-10-06 11:27:24,3.605
2024-10-06 11:30:49.100,2024-10-06 11:30:45,4.1
2024-10-06 11:34:13.539,2024-10-06 11:34:07,6.539
2024-10-06 11:37:32.784,2024-10-06 11:37:29,3.784
2024-10-06 11:40:54.180,2024-10-06 11:40:51,3.18
2024-10-06 11:44:17.581,2024-10-06 11:44:13,4.581
2024-10-06 11:47:37.823,2024-10-06 11:47:35,2.823
2024-10-06 11:50:59.220,2024-10-06 11:50:56,3.22
2024-10-06 11:54:22.661,2024-10-06 11:54:18,4.661
2024-10-06 11:57:43.926,2024-10-06 11:57:40,3.926
2024-10-06 12:01:06.493,2024-10-06 12:01:02,4.493
2024-10-06 12:04:27.882,2024-10-06 12:04:24,3.882
2024-10-06 12:07:49.121,2024-10-06 12:07:46,3.121
2024-10-06 12:11:11.540,2024-10-06 12:11:07,4.54
2024-10-06 12:14:32.995,2024-10-06 12:14:29,3.995
2024-10-06 12:17:57.293,2024-10-06 12:17:51,6.293
2024-10-06 12:21:16.695,2024-10-06 12:21:13,3.695
2024-10-06 12:24:38.125,2024-10-06 12:24:35,3.125
2024-10-06 12:28:00.420,2024-10-06 12:27:57,3.42
2024-10-06 12:31:21.842,2024-10-06 12:31:19,2.842
2024-10-06 12:34:44.328,2024-10-06 12:34:40,4.328
2024-10-06 12:38:06.599,2024-10-06 12:38:02,4.599
2024-10-06 12:41:29.002,2024-10-06 12:41:24,5.002
2024-10-06 12:44:52.436,2024-10-06 12:44:46,6.436
2024-10-06 12:48:11.706,2024-10-06 12:48:08,3.706
2024-10-06 12:51:33.128,2024-10-06 12:51:30,3.128
2024-10-06 12:54:55.508,2024-10-06 12:54:51,4.508
2024-10-06 12:58:16.773,2024-10-06 12:58:13,3.773
2024-10-06 13:01:38.203,2024-10-06 13:01:35,3.203
2024-10-06 13:05:00.639,2024-10-06 13:04:57,3.639
2024-10-06 13:08:21.919,2024-10-06 13:08:19,2.919
2024-10-06 13:11:44.330,2024-10-06 13:11:41,3.33
2024-10-06 13:15:05.775,2024-10-06 13:15:03,2.775
2024-10-06 13:18:28.062,2024-10-06 13:18:24,4.062
2024-10-06 13:21:50.481,2024-10-06 13:21:46,4.481
2024-10-06 13:25:11.960,2024-10-06 13:25:08,3.96
2024-10-06 13:28:33.225,2024-10-06 13:28:30,3.225
2024-10-06 13:31:55.661,2024-10-06 13:31:52,3.661
2024-10-06 13:35:17.082,2024-10-06 13:35:14,3.082
2024-10-06 13:38:38.380,2024-10-06 13:38:35,3.38
2024-10-06 13:42:00.824,2024-10-06 13:41:57,3.824
2024-10-06 13:45:23.219,2024-10-06 13:45:19,4.219
2024-10-06 13:48:44.476,2024-10-06 13:48:41,3.476
2024-10-06 13:52:06.903,2024-10-06 13:52:03,3.903
2024-10-06 13:55:28.325,2024-10-06 13:55:25,3.325
2024-10-06 13:58:49.614,2024-10-06 13:58:46,3.614
2024-10-06 14:02:12.190,2024-10-06 14:02:08,4.19
2024-10-06 14:05:33.612,2024-10-06 14:05:30,3.612
2024-10-06 14:08:54.868,2024-10-06 14:08:52,2.868
2024-10-06 14:12:17.288,2024-10-06 14:12:14,3.288
2024-10-06 14:15:38.734,2024-10-06 14:15:36,2.734
2024-10-06 14:19:01.021,2024-10-06 14:18:57,4.021
2024-10-06 14:22:23.441,2024-10-06 14:22:19,4.441
2024-10-06 14:25:44.846,2024-10-06 14:25:41,3.846
2024-10-06 14:29:07.149,2024-10-06 14:29:03,4.149
2024-10-06 14:32:28.579,2024-10-06 14:32:25,3.579
2024-10-06 14:35:49.968,2024-10-06 14:35:47,2.968
2024-10-06 14:39:13.236,2024-10-06 14:39:09,4.236
2024-10-06 14:42:33.833,2024-10-06 14:42:30,3.833
2024-10-06 14:45:56.244,2024-10-06 14:45:52,4.244
2024-10-06 14:49:18.507,2024-10-06 14:49:14,4.507
2024-10-06 14:52:39.903,2024-10-06 14:52:36,3.903
2024-10-06 14:56:01.317,2024-10-06 14:55:58,3.317
2024-10-06 14:59:22.573,2024-10-06 14:59:20,2.573
2024-10-06 15:02:45.990,2024-10-06 15:02:41,4.99
2024-10-06 15:06:07.428,2024-10-06 15:06:03,4.428
2024-10-06 15:09:28.701,2024-10-06 15:09:25,3.701
2024-10-06 15:12:50.123,2024-10-06 15:12:47,3.123
2024-10-06 15:16:13.605,2024-10-06 15:16:09,4.605
2024-10-06 15:19:33.881,2024-10-06 15:19:30,3.881
2024-10-06 15:22:55.294,2024-10-06 15:22:52,3.294
2024-10-06 15:26:17.729,2024-10-06 15:26:14,3.729
2024-10-06 15:29:42.052,2024-10-06 15:29:36,6.052
2024-10-06 15:33:01.470,2024-10-06 15:32:58,3.47
